dot_number,legal_name,dba_name,phone,email,physical_address,physical_city,physical_state,physical_zip,power_units,drivers,inspection_date,oos_total,vehicle_oos,driver_oos,total_violations,inspection_state,inspection_level,safer_link
3105463,VDV ROYAL TRANS INC,,,,1051 PERIMETER DR STE 210,SCHAUMBURG,IL,60173,,,20240628,1,1,0,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3105463
61163,ARNOLD J THOMAS & SON INC,,,,4660 MAIN ST BUILDING C STE 500-2,SPRINGFIELD,OR,97478,,,20240629,2,1,1,5,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=61163
3302117,TAMERLANE EXPRESS INC,,,,475 QUADRANGLE DR STE E,BOLINGBROOK,IL,60440,,,20240629,2,2,0,4,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3302117
2575865,RAINIER AMUSEMENTS LLC,,,,535 MAIN STREET,MOLALLA,OR,97038,,,20240701,2,2,0,6,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2575865
1897275,NATE MALINEN TRUCKING LLC,,,,90461 HWY 202,ASTORIA,OR,97103,,,20240702,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1897275
1134389,P D P UNLIMITED INC,,,,201 WILSON  ROCK RD,MULDROW,OK,74948,,,20240702,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1134389
1419381,PER TRUCKING LLC,,,,23931 WARTHEN RD,ELMIRA,OR,97437,,,20240702,1,1,0,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1419381
236780,ROBERT S MURRAY,,,,160 KESTER RD,ROSEBURG,OR,97470,,,20240703,1,1,0,5,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=236780
337319,PAVESTONE LLC,,,,5 CONCOURSE PARKWAY SUITE 1900,ATLANTA,GA,30328,,,20240703,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=337319
3002278,JANZEN FARMS LLC,,,,20555 SE WEBFOOT RD,DAYTON,OR,97114,,,20240702,1,0,1,4,OR,3,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3002278
751415,MAIN ROCK PRODUCTS INC,,,,96521 KENTUCK WAY LANE,NORTH BEND,OR,97459,,,20240708,3,3,0,8,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=751415
339287,K MITCHELL TRUCKING CO,,,,519 BAY BLVD,TOLEDO,OR,97391,,,20240709,2,2,0,6,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=339287
285565,CENTRAL OREGON TRUCK COMPANY LLC,,,,394 NE HEMLOCK AVE,REDMOND,OR,97756,,,20240709,1,1,0,2,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=285565
3188363,JET EXPRESS LLC,,,,5542 MANDARIN WAY,DALLAS,TX,75249,,,20240710,1,1,0,1,OR,2,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3188363
2568211,ROBINSON CONCRETE PUMPING INC,,,,1698 SE DEER CREEK DR,ROSEBURG,OR,97470,,,20240709,1,1,0,3,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2568211
351941,DEAN A NASBY,,,,69859 STAGE RD,NORTH BEND,OR,97459,,,20240709,2,2,0,4,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=351941
1232787,BRENT S MELSON,,,,180 MOTTS RD,TENMILE,OR,97481,,,20240710,2,2,0,7,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1232787
1252883,WASTE CONNECTIONS OF OREGON INC,,,,5455 NE 109TH AVE,PORTLAND,OR,97220,,,20240710,1,1,0,6,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1252883
2724491,CLINT COLWELL LOGGING AND TRUCKING LLC,,,,655 COLWELL HILL LN,ROSEBURG,OR,97471,,,20240708,3,3,0,8,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=2724491
3469601,FRONTIER TRUCKING LLC,,,,93877 LAMONT LN,COOS BAY,OR,97420,,,20240710,2,2,0,4,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=3469601
1841988,GEMCAP TRUCKING INC,,,,7570 NW 14 ST SUITE 106,MIAMI,FL,33126,,,20240710,1,1,0,5,OR,1,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnap&query_param=USDOT&query_string=1841988
